,domain,recursive_resolver,trigger_measurement,local_Cache_Latency,recursive_resolver_Latency,recursive_resolver_hops,trace_attributes,ans,ans_@_latency,ans_internet_hops,path_3_RR_ANS_RR,path_4_RR_RS_RR_TLD_RR_ANS_RR,path_5_RR_RS_RR,root_server,rns_hops,path_6_RR_RS_RR_TLD_RR,tld_server,tld_hops,tld,rs_@_latency,tld_@_latency
0,ex1.ans1.tld1,172.20.4.3,0.015881061554,7.1861743927,1.26194953918,4,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,0,3,0,2,1,172.20.4.8,4,2,172.20.1.4,4,tld1,1,1
1,ex2.ans1.tld1,172.20.4.3,0.0039119720459,0.331163406372,1.60098075867,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,0,8,0,2,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
2,ex1.ans2.tld1,172.20.4.3,0.00544118881226,1.13105773926,1.89304351807,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,4,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
3,ex2.ans2.tld1,172.20.4.3,0.00538015365601,4.39596176147,0.94199180603,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,9,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
4,ex1.ans3.tld2,172.20.4.3,0.00653791427612,15.8259868622,2.03084945679,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,4,1,3,1,172.20.4.8,9,2,172.20.1.5,4,tld2,1,1
5,ex2.ans3.tld2,172.20.4.3,0.0047390460968,0.479936599731,0.142812728882,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,9,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
6,ex1.ans4.tld2,172.20.4.3,0.00496292114258,1.59096717834,10.5440616608,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,3,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
7,ex2.ans4.tld2,172.20.4.3,0.00515484809875,0.313997268677,114.210128784,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,8,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
