,domain,recursive_resolver,trigger_measurement,local_Cache_Latency,recursive_resolver_Latency,recursive_resolver_hops,trace_attributes,ans,ans_@_latency,ans_internet_hops,path_3_RR_ANS_RR,path_4_RR_RS_RR_TLD_RR_ANS_RR,path_5_RR_RS_RR,root_server,rns_hops,path_6_RR_RS_RR_TLD_RR,tld_server,tld_hops,tld,rs_@_latency,tld_@_latency
0,ex1.ans1.tld1,172.20.4.3,0.414548158646,17.8170204163,3.37910652161,4,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,1,3,0,2,1,172.20.4.8,4,2,172.20.1.4,4,tld1,1,1
1,ex2.ans1.tld1,172.20.4.3,0.144889116287,2.14600563049,1.85084342957,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,0,8,0,2,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
2,ex1.ans2.tld1,172.20.4.3,0.0228459835052,2.0010471344,1.80602073669,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,4,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
3,ex2.ans2.tld1,172.20.4.3,0.0327348709106,1.79195404053,1.90806388855,4,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,9,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
4,ex1.ans3.tld2,172.20.4.3,0.00493001937866,1.83606147766,3.93891334534,4,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,4,1,3,1,172.20.4.8,9,2,172.20.1.5,4,tld2,1,1
5,ex2.ans3.tld2,172.20.4.3,0.00467205047607,1.64389610291,2.91800498962,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,9,1,3,1,172.20.4.8,9,2,172.20.1.5,4,tld2,1,0
6,ex1.ans4.tld2,172.20.4.3,0.0244941711426,1.62792205811,1.92093849182,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,3,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,0
7,ex2.ans4.tld2,172.20.4.3,0.131317138672,1.59907341003,2.1378993988,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,8,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,0
