,domain,recursive_resolver,trigger_measurement,local_Cache_Latency,recursive_resolver_Latency,recursive_resolver_hops,trace_attributes,ans,ans_@_latency,ans_internet_hops,path_3_RR_ANS_RR,path_4_RR_RS_RR_TLD_RR_ANS_RR,path_5_RR_RS_RR,root_server,rns_hops,path_6_RR_RS_RR_TLD_RR,tld_server,tld_hops,tld,rs_@_latency,tld_@_latency
0,ex1.ans1.tld1,172.20.4.3,0.0158720016479,7.2181224823,1.44505500793,4,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,0,3,0,2,1,172.20.4.8,4,2,172.20.1.4,4,tld1,1,1
1,ex2.ans1.tld1,172.20.4.3,0.00316691398621,0.330209732056,4.10008430481,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,0,8,0,2,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
2,ex1.ans2.tld1,172.20.4.3,0.00657296180725,4.85897064209,0.144004821777,9,"(1, 1, 0, 0, u'172.20.4.8', 0, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,4,1,1,0,172.20.4.8,9,0,172.20.1.4,9,tld1,1,1
3,ex2.ans2.tld1,172.20.4.3,0.00511479377747,2.01010704041,0.138998031616,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,9,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
4,ex1.ans3.tld2,172.20.4.3,0.00640892982483,14.6098136902,6.6180229187,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,4,1,3,1,172.20.4.8,9,2,172.20.1.5,4,tld2,1,1
5,ex2.ans3.tld2,172.20.4.3,0.0049250125885,1.79195404053,0.144958496094,9,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,9,1,3,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
6,ex1.ans4.tld2,172.20.4.3,0.00530505180359,0.310897827148,1.05094909668,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,3,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
7,ex2.ans4.tld2,172.20.4.3,0.00498700141907,2.86602973938,1.83486938477,9,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,8,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
