,domain,recursive_resolver,trigger_measurement,local_Cache_Latency,recursive_resolver_Latency,recursive_resolver_hops,trace_attributes,ans,ans_@_latency,ans_internet_hops,path_3_RR_ANS_RR,path_4_RR_RS_RR_TLD_RR_ANS_RR,path_5_RR_RS_RR,root_server,rns_hops,path_6_RR_RS_RR_TLD_RR,tld_server,tld_hops,tld,rs_@_latency,tld_@_latency
0,ex1.ans1.tld1,172.20.4.3,5.50826501846,0.339984893799,4.34708595276,4,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,1,3,0,2,1,172.20.4.8,4,2,172.20.1.4,4,tld1,1,1
1,ex2.ans1.tld1,172.20.4.3,1.00490880013,0.300884246826,3.4499168396,7,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.2.8')",172.20.2.8,0,8,0,2,1,172.20.4.8,9,2,172.20.1.4,4,tld1,1,1
2,ex1.ans2.tld1,172.20.4.3,1.50788593292,0.298976898193,0.795841217041,4,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,4,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
3,ex2.ans2.tld1,172.20.4.3,1.00439095497,0.294208526611,0.300884246826,7,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.4', u'172.20.3.3')",172.20.3.3,1,4,1,3,1,172.20.4.8,9,2,172.20.1.4,9,tld1,1,1
4,ex1.ans3.tld2,172.20.4.3,2.00839304924,0.293970108032,1.63388252258,4,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,4,1,3,1,172.20.4.8,9,2,172.20.1.5,4,tld2,1,1
5,ex2.ans3.tld2,172.20.4.3,1.00501394272,0.348806381226,0.401973724365,7,"(1, 3, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.4.7')",172.20.4.7,1,9,1,3,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
6,ex1.ans4.tld2,172.20.4.3,1.50668406487,0.292062759399,2.29382514954,4,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,3,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
7,ex2.ans4.tld2,172.20.4.3,1.0048289299,0.290870666504,0.31304359436,7,"(0, 2, 1, 2, u'172.20.4.8', 1, u'172.20.1.5', u'172.20.2.9')",172.20.2.9,0,8,0,2,1,172.20.4.8,9,2,172.20.1.5,9,tld2,1,1
